,FIPStxt,State,Area_Name,POP_ESTIMATE_2019,land_area,population_density,Less than HS Diploma,HS Diploma,Some College,Bachelors,# in poverty,poverty_rate,Unemployment Rate,party
0,01001,AL,Autauga County,55869,595.97,93.74465158,11.3,32.6,28.4,27.7,13.8,0.0002470063899,2.7,gop
1,01003,AL,Baldwin County,223234,1596.35,139.8402606,9.7,27.6,31.3,31.3,9.8,0.00004390012274,2.7,gop
2,01005,AL,Barbour County,24686,884.9,27.89693751,27,35.7,25.1,12.2,30.9,0.001251721624,3.8,gop
3,01007,AL,Bibb County,22394,623.03,35.94369453,16.8,47.3,24.4,11.5,21.8,0.000973475038,3.1,gop
4,01009,AL,Blount County,57826,645.59,89.57078022,19.8,34,33.5,12.6,13.2,0.00022827102,2.7,gop
5,01011,AL,Bullock County,10101,625.01,16.16134142,24.8,39.7,22.3,13.3,42.5,0.004207504208,3.6,dem
6,01013,AL,Butler County,19448,776.87,25.03378944,15.4,43.9,24.6,16.1,24.5,0.001259769642,3.6,gop
7,01015,AL,Calhoun County,113605,608.46,186.7090688,15.9,32.4,33.7,18,19.5,0.0001716473747,3.5,gop
8,01017,AL,Chambers County,33254,597.17,55.68598557,18.6,38.4,29.7,13.2,18.7,0.0005623383653,2.9,gop
9,01019,AL,Cherokee County,26196,553.12,47.36042812,19.8,38.3,29,12.9,16.3,0.0006222324019,2.9,gop
10,01021,AL,Chilton County,44428,693.98,64.019136,17.8,44.1,24,14.2,17.3,0.0003893940758,2.7,gop
11,01023,AL,Choctaw County,12589,913.51,13.78091099,18.6,38.2,30.2,13,22.1,0.001755500834,4.7,gop
12,01025,AL,Clarke County,23622,1238.38,19.07492046,18.8,43.7,24.9,12.6,22.8,0.0009652019304,5.8,gop
13,01027,AL,Clay County,13235,605.07,21.87350224,24.5,36.3,29.1,10.2,17.6,0.001329807329,3,gop
14,01029,AL,Cleburne County,14910,560.21,26.61501937,22.6,39.6,24.1,13.7,16,0.001073105298,3.2,gop
15,01031,AL,Coffee County,52342,678.99,77.08802781,13.8,27.9,34.9,23.4,13.8,0.0002636506056,2.9,gop
16,01033,AL,Colbert County,55241,594.53,92.91541217,15.6,36,29.7,18.7,13.8,0.0002498144494,3.7,gop
17,01035,AL,Conecuh County,12067,850.79,14.18328847,19.2,48.8,21.3,10.7,24.4,0.00202204359,4,gop
18,01037,AL,Coosa County,10663,652.44,16.34326528,20.4,38.6,29.5,11.6,18.9,0.001772484291,3,gop
19,01039,AL,Covington County,37049,1033.82,35.8369929,17.1,35.4,32.5,14.9,19.9,0.0005371265081,3.4,gop
20,01041,AL,Crenshaw County,13772,609.58,22.59260474,21.6,38.8,24,15.6,19.5,0.001415916352,2.8,gop
21,01043,AL,Cullman County,83768,738.43,113.4406782,18.2,35.6,32.4,13.7,14.5,0.0001730971254,2.6,gop
22,01045,AL,Dale County,49172,561.07,87.63968845,14.2,32.7,36.1,17,16.2,0.0003294557878,3.1,gop
23,01047,AL,Dallas County,37196,980.71,37.92762386,19.3,35.2,30.4,15.1,31.4,0.0008441767932,5.5,dem
24,01049,AL,DeKalb County,71513,777.91,91.92965767,25.9,33.3,28.1,12.7,21.3,0.0002978479437,2.8,gop
25,01051,AL,Elmore County,81209,621.26,130.7166082,13.6,32.8,29,24.5,11.2,0.0001379157483,2.6,gop
26,01053,AL,Escambia County,36633,947.38,38.66769406,18.5,44.5,24.4,12.7,23.6,0.000644227882,3.5,gop
27,01055,AL,Etowah County,102268,534.82,191.2194757,15.5,32.9,33.9,17.7,17.5,0.0001711190206,3.3,gop
28,01057,AL,Fayette County,16302,627.66,25.97266036,17.6,41.5,27.9,12.9,23.5,0.001441540915,3.1,gop
29,01059,AL,Franklin County,31362,635.64,49.33924863,23.2,36.8,27.1,12.9,19.2,0.0006122058542,2.8,gop
30,01061,AL,Geneva County,26271,576.28,45.58721455,20.9,37.2,30.8,11.1,21.3,0.0008107799475,2.9,gop
31,01063,AL,Greene County,8111,645.87,12.55825476,24.1,36.8,29,10.1,30.1,0.00371100974,5.6,dem
