,FIPStxt,State,Area_Name,POP_ESTIMATE_2019,land_area,population_density,Less than HS Diploma,HS Diploma,Some College,Bachelors,# in poverty,poverty_rate,Unemployment Rate,party
0,16001,ID,Ada County,481587,1054.99,456.4848956,4.9,23,34.4,37.8,9.7,0.00002014173971,2.5,gop
1,16003,ID,Adams County,4294,1364.58,3.146755778,10.4,37.7,32.9,19.1,13.2,0.003074056823,6.8,gop
2,16005,ID,Bannock County,87808,1113.3,78.87182251,8.1,26.5,38.2,27.2,13.8,0.0001571610787,2.8,gop
3,16007,ID,Bear Lake County,6125,971.38,6.305462332,6.2,38.8,34.7,20.3,10.7,0.001746938776,2.9,gop
4,16009,ID,Benewah County,9298,776.07,11.98087801,11.7,38.9,34.2,15.1,14.7,0.001580985158,5.2,gop
5,16011,ID,Bingham County,46811,2094.73,22.34703279,12.5,30,36.8,20.7,12,0.0002563500032,2.7,gop
6,16013,ID,Blaine County,23021,2644.78,8.704315671,11.6,22.1,28.1,38.2,7,0.0003040701968,2.6,dem
7,16015,ID,Boise County,7831,1902.46,4.116249488,6.3,27.4,39.2,27.2,12.8,0.001634529434,4.3,gop
8,16017,ID,Bonner County,45739,1737.67,26.32202892,9.2,30.5,37.3,23.1,14.1,0.0003082708411,4.2,gop
9,16019,ID,Bonneville County,119062,1868.48,63.72131358,8.3,26.1,35.5,30.1,10.6,0.00008902924527,2.4,gop
10,16021,ID,Boundary County,12245,1268.81,9.650775136,8,41.1,31.9,19,13.5,0.001102490813,4.4,gop
11,16023,ID,Butte County,2597,2232.85,1.163087534,5,36.9,40,18.2,15.1,0.005814401232,2.6,gop
12,16025,ID,Camas County,1106,1074.96,1.028875493,6.4,38,36.1,19.5,9.7,0.00877034358,2.7,gop
13,16027,ID,Canyon County,229849,589.72,389.7595469,15.4,32,34.3,18.3,11.5,0.00005003284765,3.2,gop
14,16029,ID,Caribou County,7155,1766.01,4.051505937,7.8,32.6,39.8,19.9,8.9,0.001243885395,2.7,gop
15,16031,ID,Cassia County,24030,2566.45,9.363128056,17.5,29.9,33.9,18.6,13,0.0005409904286,2.4,gop
16,16033,ID,Clark County,845,1764.63,0.4788539241,39.2,23.6,21.6,15.5,15.5,0.01834319527,3.7,gop
17,16035,ID,Clearwater County,8756,2461.4,3.5573251,10.5,34.8,37.8,16.9,15.5,0.00177021471,6.8,gop
18,16037,ID,Custer County,4315,4925.45,0.8760620857,10.6,29.8,36.5,23,14.7,0.003406720742,4.2,gop
19,16039,ID,Elmore County,27511,3077.57,8.939195534,10.6,28,44.9,16.4,12.9,0.0004689033478,3.3,gop
20,16041,ID,Franklin County,13876,665.43,20.85268172,8.8,36.3,36.8,18.1,8.8,0.000634188527,2.3,gop
21,16043,ID,Fremont County,13099,1866.76,7.01697058,12.3,32,34.8,20.9,15.3,0.001168028094,2.3,gop
22,16045,ID,Gem County,18112,562.58,32.19453233,12.1,39.2,33.9,14.8,13.4,0.0007398409894,3.3,gop
23,16047,ID,Gooding County,15179,730.78,20.77095706,20.2,37.2,27.4,15.2,13.7,0.0009025627512,2.6,gop
24,16049,ID,Idaho County,16667,8484.88,1.964317704,9.4,35.1,35.3,20.2,16.2,0.0009719805604,4.5,gop
25,16051,ID,Jefferson County,29871,1095.08,27.27745918,10.9,27.7,38.8,22.6,9.1,0.0003046432995,2.3,gop
26,16053,ID,Jerome County,24412,599.84,40.69751934,22.3,32.7,30.1,14.9,12.5,0.0005120432574,2.6,gop
27,16055,ID,Kootenai County,165697,1245.12,133.0771331,7.5,27.1,40.4,24.9,10.3,0.00006216165652,3.6,gop
28,16057,ID,Latah County,40108,1076.65,37.25258905,3.7,19.9,31.3,45.1,12.7,0.0003166450583,2.7,dem
29,16059,ID,Lemhi County,8027,4564.16,1.758702587,7.8,32,39.1,21.1,14.7,0.001831319297,4.8,gop
30,16061,ID,Lewis County,3838,479.04,8.011857047,11.5,29.4,41.8,17.3,14.2,0.003699843669,5.5,gop
31,16063,ID,Lincoln County,5366,1205.53,4.451154264,20.6,34.6,34.7,10.1,13.8,0.002571748043,3.6,gop
32,16065,ID,Madison County,39907,471.52,84.6347981,4.1,15.7,43.9,36.4,23.9,0.0005988924249,1.8,gop
33,16067,ID,Minidoka County,21039,759.62,27.69674311,21.6,29.6,35.5,13.4,12.4,0.0005893816246,2.5,gop
34,16069,ID,Nez Perce County,40408,849.08,47.59033307,7.7,32.9,37.5,21.9,13.3,0.000329142744,2.8,gop
35,16071,ID,Oneida County,4531,1200.33,3.774795265,9,37,38.5,15.5,11.3,0.0024939307,2.3,gop
36,16073,ID,Owyhee County,11823,7677.98,1.53985814,25,34.3,29.5,11.2,14.7,0.001243339254,3.4,gop
37,16075,ID,Payette County,23951,407.52,58.77257558,15,33.7,37.1,14.2,12.8,0.0005344244499,3.6,gop
38,16077,ID,Power County,7681,1405.57,5.464686924,19.1,33.9,31,15.9,13.7,0.001783621924,3.1,gop
39,16079,ID,Shoshone County,12882,2633.91,4.890827705,14.4,38.5,35.5,11.6,18.8,0.001459400714,5.9,gop
40,16081,ID,Teton County,12142,450.36,26.9606537,7.1,16.2,35.2,41.5,7.6,0.000625926536,2.2,dem
41,16083,ID,Twin Falls County,86878,1925.03,45.13072524,12.2,27.9,39.3,20.6,13.6,0.0001565413568,2.8,gop
42,16085,ID,Valley County,11392,3677.82,3.097487098,5.4,29.9,34.7,30.1,8.4,0.0007373595506,3.9,gop
43,16087,ID,Washington County,10194,1456.32,6.999835201,14.1,36.5,34.6,14.8,15.3,0.001500882872,4.2,gop
44,30001,MT,Beaverhead County,9453,5542.31,1.705606507,4.6,29.2,30.7,35.5,13.8,0.001459854015,2.9,gop
45,30003,MT,Big Horn County,13319,4994.81,2.666567897,11.8,35.8,35,17.4,25.6,0.001922066221,7.4,dem
46,30005,MT,Blaine County,6681,4226.18,1.580860257,10.9,25.9,41.3,21.8,20.8,0.003113306391,3.5,dem
47,30007,MT,Broadwater County,6237,1191.35,5.235237336,5.6,36.7,30.6,27,10.3,0.001651434985,4,gop
48,30009,MT,Carbon County,10725,2047.99,5.236841977,5.9,28.8,33.3,32,11.7,0.001090909091,3.4,gop
49,30011,MT,Carter County,1252,3339.57,0.3748985648,7.1,36.2,39.2,17.5,13.7,0.01094249201,2.8,gop
50,30013,MT,Cascade County,81366,2697.9,30.15901257,8.3,31.6,34,26,13.4,0.0001646879532,3.4,gop
51,30015,MT,Chouteau County,5635,3973.24,1.418238012,7,32.5,33.2,27.3,18.7,0.003318544809,2.7,gop
52,30017,MT,Custer County,11402,3783.13,3.013906474,7.4,29.7,40.5,22.5,12.5,0.001096298895,2.9,gop
53,30019,MT,Daniels County,1690,1426.09,1.185058447,4.7,38.2,35.2,21.9,10.1,0.005976331361,2,gop
