Trade Date,Options Class,Underlying,Product Type,Exchange,Volume
2010/08/10,AMZN,AMZN,S,CBOE,10391
2010/08/11,AMZN,AMZN,S,CBOE,13468
2010/08/12,AMZN,AMZN,S,CBOE,11556
2010/08/13,AMZN,AMZN,S,CBOE,8140
2010/08/16,AMZN,AMZN,S,CBOE,8792
2010/08/17,AMZN,AMZN,S,CBOE,11458
2010/08/18,AMZN,AMZN,S,CBOE,15494
2010/08/19,AMZN,AMZN,S,CBOE,14055
2010/08/20,AMZN,AMZN,S,CBOE,10746
2010/08/23,AMZN,AMZN,S,CBOE,8166
2010/08/24,AMZN,AMZN,S,CBOE,12248
2010/08/25,AMZN,AMZN,S,CBOE,8822
2010/08/26,AMZN,AMZN,S,CBOE,7847
2010/08/27,AMZN,AMZN,S,CBOE,10732
2010/08/30,AMZN,AMZN,S,CBOE,6157
2010/08/31,AMZN,AMZN,S,CBOE,6847
2010/09/01,AMZN,AMZN,S,CBOE,12178
2010/09/02,AMZN,AMZN,S,CBOE,17074
2010/09/03,AMZN,AMZN,S,CBOE,18434
2010/09/07,AMZN,AMZN,S,CBOE,7606
2010/09/08,AMZN,AMZN,S,CBOE,11024
2010/09/09,AMZN,AMZN,S,CBOE,10150
2010/09/10,AMZN,AMZN,S,CBOE,14177
2010/09/13,AMZN,AMZN,S,CBOE,14070
2010/09/14,AMZN,AMZN,S,CBOE,9958
2010/09/15,AMZN,AMZN,S,CBOE,12455
2010/09/16,AMZN,AMZN,S,CBOE,17624
2010/09/17,AMZN,AMZN,S,CBOE,11805
2010/09/20,AMZN,AMZN,S,CBOE,20645
2010/09/21,AMZN,AMZN,S,CBOE,15525
2010/09/22,AMZN,AMZN,S,CBOE,12271
2010/09/23,AMZN,AMZN,S,CBOE,24656
2010/09/24,AMZN,AMZN,S,CBOE,37805
2010/09/27,AMZN,AMZN,S,CBOE,18638
2010/09/28,AMZN,AMZN,S,CBOE,21968
2010/09/29,AMZN,AMZN,S,CBOE,14914
2010/09/30,AMZN,AMZN,S,CBOE,17488
2010/10/01,AMZN,AMZN,S,CBOE,26132
2010/10/04,AMZN,AMZN,S,CBOE,16047
2010/10/05,AMZN,AMZN,S,CBOE,18541
2010/10/06,AMZN,AMZN,S,CBOE,22643
2010/10/07,AMZN,AMZN,S,CBOE,14495
2010/10/08,AMZN,AMZN,S,CBOE,20312
2010/10/11,AMZN,AMZN,S,CBOE,9807
2010/10/12,AMZN,AMZN,S,CBOE,11836
2010/10/13,AMZN,AMZN,S,CBOE,10634
2010/10/14,AMZN,AMZN,S,CBOE,13532
2010/10/15,AMZN,AMZN,S,CBOE,33620
2010/10/18,AMZN,AMZN,S,CBOE,13078
2010/10/19,AMZN,AMZN,S,CBOE,17919
2010/10/20,AMZN,AMZN,S,CBOE,14529
2010/10/21,AMZN,AMZN,S,CBOE,67687
2010/10/22,AMZN,AMZN,S,CBOE,70832
2010/10/25,AMZN,AMZN,S,CBOE,21877
2010/10/26,AMZN,AMZN,S,CBOE,16478
2010/10/27,AMZN,AMZN,S,CBOE,14890
2010/10/28,AMZN,AMZN,S,CBOE,12075
2010/10/29,AMZN,AMZN,S,CBOE,13711
2010/11/01,AMZN,AMZN,S,CBOE,12590
